country,eprc_v1,eprc_v2,eprc_v3,epr_v1,epr_v3,epc,ept_v1,ept_v3,year,primerate,youthrate,oldrate,gdp
AUS,1.667,2.012,1.94,1.667,1.567,2.875,0.875,1.042,2013,12.2077714223,12.2077714223,4.5523052579,1583557
AUT,2.75,"","",2.75,"","",1.313,,1994,4.9627704802,3.2896111642,3.2896111642,168547.593844963E
AUT,2.75,"","",2.75,"","",1.313,,1994,4.9627704802,4.9627704802,3.2896111642,168547.593844963E
AUT,2.75,"","",2.75,"","",1.313,,1995,5.1606417926,3.392680751,3.392680751,176183.3
AUT,2.75,"","",2.75,"","",1.313,,1995,5.1606417926,5.1606417926,3.392680751,176183.3
AUT,2.75,"","",2.75,"","",1.313,,1996,6.326858396,3.703226483,3.703226483,182132.75
AUT,2.75,"","",2.75,"","",1.313,,1996,6.326858396,6.326858396,3.703226483,182132.75
AUT,2.75,"","",2.75,"","",1.313,,1997,6.3332120109,3.8551368126,3.8551368126,188309.68
AUT,2.75,"","",2.75,"","",1.313,,1997,6.3332120109,6.3332120109,3.8551368126,188309.68
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,1998,5.7555795705,3.9438012382,3.9438012382,195828.19
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,1998,5.7555795705,5.7555795705,3.9438012382,195828.19
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,1999,5.0827360175,3.403986694,3.403986694,203418.33
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,1999,5.0827360175,5.0827360175,3.403986694,203418.33
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,2000,5.0982238159,3.1140532359,3.1140532359,213196.12
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,2000,5.0982238159,5.0982238159,3.1140532359,213196.12
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,2001,5.6258936849,3.1450912422,3.1450912422,220095.68
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,2001,5.6258936849,5.6258936849,3.1450912422,220095.68
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,2002,6.1955526106,3.5222780255,3.5222780255,226302.65
AUT,2.75,2.893,"",2.75,"",3.25,1.313,,2002,6.1955526106,6.1955526106,3.5222780255,226302.65
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2003,7.0405083032,3.7549256461,3.7549256461,230999.23
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2003,7.0405083032,7.0405083032,3.7549256461,230999.23
